fecha,profileViews,totalBookings,rating,reviewCount,hourlyRate_usd,isVerified
2026-07-27,1,0,0,0,45,false
2026-07-28,,,,,45,
2026-07-29,,,,,45,
2026-07-30,,,,,45,
2026-07-31,,,,,45,
2026-08-01,,,,,45,
2026-08-02,,,,,45,
2026-08-03,,,,,45,
2026-08-04,,,,,45,
2026-08-05,,,,,45,
2026-08-06,,,,,45,
2026-08-07,,,,,45,
2026-08-08,,,,,45,
2026-08-09,,,,,45,
2026-08-10,,,,,45,
2026-08-11,,,,,45,
2026-08-12,,,,,45,
2026-08-13,,,,,45,
2026-08-14,,,,,45,
2026-08-15,,,,,45,
2026-08-16,,,,,45,
2026-08-17,,,,,28,
2026-08-18,,,,,28,
2026-08-19,,,,,28,
2026-08-20,,,,,28,
2026-08-21,,,,,28,
2026-08-22,,,,,28,
2026-08-23,,,,,28,
2026-08-24,,,,,28,
2026-08-25,,,,,28,
2026-08-26,,,,,28,
2026-08-27,,,,,28,
2026-08-28,,,,,28,
2026-08-29,,,,,28,
2026-08-30,,,,,28,
2026-08-31,,,,,28,
2026-09-01,,,,,28,
2026-09-02,,,,,28,
2026-09-03,,,,,28,
2026-09-04,,,,,28,
2026-09-05,,,,,28,
2026-09-06,,,,,28,
2026-09-07,,,,,16,
2026-09-08,,,,,16,
2026-09-09,,,,,16,
2026-09-10,,,,,16,
2026-09-11,,,,,16,
2026-09-12,,,,,16,
2026-09-13,,,,,16,
2026-09-14,,,,,16,
2026-09-15,,,,,16,
2026-09-16,,,,,16,
2026-09-17,,,,,16,
2026-09-18,26,,,,16,
